,id,screen_name,name,lang,created_at,location,time_zone,description,followers_count,friends_count,statuses_count
0,4203488233,systasystasis,Bells,en,Wed Nov 11 17:09:21 +0000 2015,"Dallas, TX",,,28,208,7
1,2735264293,zosiatreb,Zofia Trebaczkiewicz,en,Fri Aug 15 18:55:49 +0000 2014,,,,4,80,8
