0,4203488233
1,2735264293
3,94839645
4,4167429915
5,4189224207
10,479083985
11,373721476
12,355703826
13,4189200519
16,721825892
23,17703262
27,3303867491
28,18759365
33,4189210431
37,3397343885
38,73585333
41,4189301356
42,2384003422
44,312703951
51,4189206629
55,4189145187
57,3097656455
58,3399507193
61,242749716
62,983393984
64,36751799
66,878580528
67,4238477840
69,4034591747
74,3838839133
80,19233257
81,46392359
83,4026447734
84,4235322014
85,144232296
91,556205407
96,4175953965
97,4229712800
98,2315474818
99,145183299
103,4189086267
106,267188323
108,266141958
112,4189110147
113,90025621
114,4238587213
118,4104932403
120,3304149107
127,3938800876
130,4189181134
132,343043956
133,4189070849
135,395130564
139,24663557
141,49157246
142,280949292
143,257329301
146,991099909
147,3605038812
148,2580537298
150,4189171942
152,3283682576
154,4189161802
155,343412018
158,4238453114
161,4189040021
163,1471048388
164,2309156683
165,172792784
167,4188537496
168,4235707578
170,4189083214
172,2553423043
173,293711667
175,337596364
180,4013169035
187,2781563796
189,587415551
190,3051391722
191,4175833936
193,4188980721
194,20215494
195,111189506
196,4219781005
198,788018144
200,3381593776
201,380888823
204,627523465
206,3320351418
207,4132707184
211,4189020467
215,4188949127
217,1307391511
218,23985169
222,3123531323
223,4076773283
225,4188921627
227,503310376
231,963414380
233,97628982
236,1541620867
237,4188877095
242,3636660196
243,2230477123
249,297572887
250,4168041363
253,22198741
254,4187829867
255,4188932069
259,533127356
261,4037974345
262,4172691569
263,11895822
266,1441654062
268,4188866019
269,4188949108
270,233940849
275,4188857326
276,190042598
280,4237995432
283,3983184319
286,327356410
287,83926241
288,87819886
289,975225895
292,4188822591
294,1557214944
295,4238009953
296,403543703
297,4238067792
298,4212512780
300,325473780
301,190177153
303,4188589859
304,2788988499
306,2205507080
307,37502515
311,4238086934
313,4238014812
314,2901230517
315,4188784767
316,4238009900
317,3291670195
318,67301914
319,4188900706
323,3878802179
324,18515608
329,3381765503
330,170707727
334,1451240316
340,2840744001
341,18042545
343,3872601252
345,331440958
346,4187840848
348,346867119
351,546282780
353,4224190040
354,390752287
356,4098394997
360,3957234993
362,4188730757
363,3379181884
364,2548744214
367,2384064452
368,426707930
371,4188373119
375,46287555
376,4237957939
379,81362392
385,4237971686
387,2732742572
389,67790263
390,4188472037
391,4187727616
392,235842344
393,4003451613
394,4188728411
395,511189338
396,4188736709
397,368388673
399,4237955720
400,33931476
401,4196623639
403,19149828
404,4237591634
405,257323431
407,3303164914
409,4083169595
411,2290027470
412,635921712
413,2782449383
416,17038200
418,4237937473
419,139718165
422,4188651495
423,166906469
429,4025978952
432,31612875
434,3805323316
438,576810007
444,408176316
445,2374268096
446,4188190521
447,4177683741
448,3818532434
449,1890000614
452,4237199534
453,4188703264
454,4188662945
457,4188602499
459,2344274520
460,4237815794
462,3331099083
464,4122424823
465,1293778622
468,4237881679
470,4188600933
471,4034311521
472,3952108333
473,101557907
474,4127326034
475,2525605968
476,328580545
477,70915405
479,343601870
480,148836622
483,4188636041
485,4188570501
489,20597471
490,813625212
